"id","age","gender","traffic_source","category","retail_price"
7473,26,"F","Display","Accessories",8
8493,38,"F","Search","Socks & Hosiery",8
10639,49,"M","Search","Socks",8
10909,26,"M","Search","Socks",8
11070,51,"F","Facebook","Intimates",8
24820,14,"F","Search","Plus",8
25374,67,"M","Organic","Accessories",8
26411,61,"F","Organic","Leggings",8
30136,47,"M","Search","Socks",8
34723,25,"M","Search","Active",8
47300,37,"F","Search","Skirts",8
53053,39,"F","Search","Accessories",8
53472,53,"M","Organic","Socks",8
57958,62,"M","Organic","Socks",8
58838,24,"M","Search","Socks",8
62170,68,"F","Search","Plus",8
64691,42,"M","Search","Socks",8
68948,12,"M","Search","Socks",8
69996,45,"M","Search","Socks",8
81418,64,"M","Search","Socks",8
85062,57,"M","Email","Socks",8
85406,19,"F","Search","Accessories",8
88948,42,"F","Organic","Plus",8
89120,29,"M","Search","Socks",8
91448,25,"M","Search","Socks",8
94921,28,"F","Facebook","Socks & Hosiery",8
96561,35,"F","Search","Accessories",8
96665,33,"F","Organic","Intimates",8
99286,25,"M","Email","Socks",8
3699,48,"M","Search","Socks",8
13126,57,"M","Search","Socks",8
26234,34,"M","Search","Socks",8
40836,46,"F","Search","Shorts",8
56308,47,"F","Search","Intimates",8
57571,35,"M","Organic","Socks",8
64823,16,"M","Search","Socks",8
70223,46,"M","Search","Socks",8
76901,50,"M","Display","Socks",8
81745,37,"M","Display","Socks",8
82306,51,"M","Search","Socks",8
84609,47,"F","Search","Shorts",8
87255,13,"F","Search","Leggings",8
89167,31,"F","Display","Intimates",8
92033,12,"M","Facebook","Socks",8
96705,49,"F","Search","Socks & Hosiery",8
97900,52,"F","Search","Intimates",8
99659,33,"F","Search","Plus",8
472,14,"F","Search","Sweaters",8.5
17413,43,"F","Search","Intimates",8.5
19917,58,"F","Search","Sweaters",8.5
36943,28,"F","Organic","Leggings",8.5
54669,20,"F","Display","Sweaters",8.5
71895,31,"F","Search","Plus",8.5
87614,70,"F","Search","Socks & Hosiery",8.5
93407,12,"F","Organic","Socks & Hosiery",8.5
22526,40,"F","Search","Leggings",8.5
27069,20,"F","Search","Socks & Hosiery",8.5
35335,33,"F","Search","Leggings",8.5
2050,45,"F","Search","Intimates",9
6425,41,"F","Organic","Intimates",9
8944,62,"F","Search","Intimates",9
11510,54,"F","Email","Intimates",9
15137,37,"M","Search","Sleep & Lounge",9
18229,34,"M","Search","Sweaters",9
29711,68,"F","Search","Socks & Hosiery",9
35945,14,"F","Search","Plus",9
40788,12,"F","Display","Socks & Hosiery",9
42092,51,"F","Search","Socks & Hosiery",9
42636,36,"F","Search","Intimates",9
50722,37,"F","Facebook","Socks & Hosiery",9
60160,25,"F","Organic","Intimates",9
61889,55,"M","Search","Active",9
66222,47,"F","Search","Plus",9
71792,57,"F","Search","Accessories",9
80254,17,"F","Search","Intimates",9
91376,18,"M","Display","Active",9
93557,60,"M","Search","Socks",9
95001,46,"F","Search","Intimates",9
97604,69,"F","Search","Intimates",9
98115,65,"M","Search","Socks",9
98358,27,"F","Search","Intimates",9
99487,54,"F","Search","Intimates",9
99862,30,"F","Search","Socks & Hosiery",9
5482,54,"F","Search","Socks & Hosiery",9
32938,40,"F","Email","Intimates",9
33019,52,"M","Search","Sleep & Lounge",9
44091,62,"M","Search","Socks",9
53132,35,"F","Search","Socks & Hosiery",9
79595,43,"F","Search","Plus",9
93084,13,"F","Facebook","Intimates",9
96594,17,"M","Organic","Accessories",9
98492,50,"M","Search","Sleep & Lounge",9
305,48,"F","Search","Socks & Hosiery",9.5
4907,52,"M","Organic","Tops & Tees",9.5
5548,32,"F","Search","Plus",9.5
8768,20,"F","Organic","Intimates",9.5
10571,27,"F","Search","Intimates",9.5
22784,28,"F","Search","Intimates",9.5
23063,62,"M","Search","Tops & Tees",9.5
32374,16,"F","Search","Intimates",9.5
32380,68,"F","Search","Sweaters",9.5
32628,50,"F","Search","Intimates",9.5
39699,45,"F","Search","Intimates",9.5
42239,59,"F","Search","Intimates",9.5
49796,47,"F","Search","Intimates",9.5
59791,48,"F","Search","Intimates",9.5
64037,48,"F","Organic","Intimates",9.5
64083,27,"F","Search","Accessories",9.5
80785,50,"F","Facebook","Intimates",9.5
84452,20,"F","Search","Socks & Hosiery",9.5
88228,65,"F","Search","Accessories",9.5
90525,53,"F","Facebook","Intimates",9.5
13107,61,"F","Search","Intimates",9.5
28705,21,"F","Search","Intimates",9.5
34876,12,"F","Search","Intimates",9.5
50632,50,"F","Organic","Intimates",9.5
52000,38,"F","Search","Intimates",9.5
54371,57,"M","Search","Tops & Tees",9.5
875,51,"M","Search","Socks",10
2346,66,"M","Organic","Socks",10
2590,13,"M","Search","Socks",10
2877,22,"F","Search","Intimates",10
5449,14,"F","Search","Socks & Hosiery",10
5719,13,"F","Search","Shorts",10
7150,57,"F","Search","Maternity",10
10282,20,"F","Search","Intimates",10
11592,40,"F","Search","Active",10
11768,46,"F","Search","Shorts",10
11986,44,"M","Search","Socks",10
12717,26,"F","Search","Socks & Hosiery",10
12858,42,"M","Facebook","Underwear",10
13340,56,"F","Email","Intimates",10
14025,66,"F","Organic","Socks & Hosiery",10
15064,43,"F","Search","Socks & Hosiery",10
15116,23,"F","Organic","Intimates",10
15712,40,"F","Organic","Intimates",10
16641,59,"F","Search","Intimates",10
17452,33,"M","Search","Socks",10
18238,60,"F","Search","Intimates",10
21082,22,"M","Search","Socks",10
25801,31,"F","Organic","Intimates",10
26331,29,"F","Search","Socks & Hosiery",10
27955,67,"M","Search","Socks",10
28359,42,"M","Search","Socks",10
31652,12,"M","Search","Socks",10
31747,16,"M","Email","Socks",10
32513,27,"F","Search","Intimates",10
33994,54,"M","Search","Socks",10
34320,55,"M","Search","Socks",10
34902,31,"F","Search","Plus",10
35282,31,"F","Search","Intimates",10
36081,18,"M","Organic","Socks",10
37600,18,"F","Search","Socks & Hosiery",10
38079,26,"F","Search","Socks & Hosiery",10
39082,21,"F","Email","Intimates",10
40483,14,"F","Search","Maternity",10
42174,15,"F","Search","Socks & Hosiery",10
43486,22,"F","Search","Plus",10
44143,42,"F","Search","Intimates",10
44580,16,"M","Search","Socks",10
44795,45,"F","Search","Socks & Hosiery",10
45709,12,"F","Search","Socks & Hosiery",10
45778,30,"M","Email","Socks",10
46195,65,"F","Search","Plus",10
46301,42,"F","Search","Socks & Hosiery",10
47239,37,"F","Search","Sleep & Lounge",10
50220,30,"F","Search","Intimates",10
50871,65,"F","Search","Intimates",10
52150,12,"F","Search","Accessories",10
54785,17,"F","Organic","Socks & Hosiery",10
56476,40,"F","Search","Socks & Hosiery",10
57726,60,"M","Search","Active",10
57905,42,"F","Email","Intimates",10
59938,24,"F","Search","Intimates",10
60940,40,"F","Search","Intimates",10
61943,12,"F","Search","Socks & Hosiery",10
63092,23,"M","Search","Socks",10
65721,15,"F","Search","Active",10
66061,51,"F","Search","Intimates",10
67862,69,"F","Email","Intimates",10
70436,14,"F","Email","Intimates",10
71553,52,"F","Search","Socks & Hosiery",10
72878,41,"M","Organic","Socks",10
77543,46,"M","Search","Socks",10
77674,61,"F","Email","Intimates",10
77771,50,"F","Search","Plus",10
79424,31,"F","Facebook","Socks & Hosiery",10
81421,20,"M","Search","Socks",10
82158,64,"M","Search","Socks",10
82436,30,"F","Search","Intimates",10
82866,38,"F","Organic","Maternity",10
82996,58,"M","Display","Socks",10
83535,19,"F","Search","Socks & Hosiery",10
86100,38,"M","Search","Socks",10
88706,14,"F","Search","Intimates",10
88869,48,"M","Search","Socks",10
89086,24,"F","Search","Socks & Hosiery",10
90197,21,"F","Display","Socks & Hosiery",10
91755,68,"F","Search","Socks & Hosiery",10
92130,59,"M","Organic","Socks",10
92221,38,"M","Facebook","Socks",10
93192,41,"F","Organic","Active",10
93494,24,"F","Search","Plus",10
94265,12,"F","Search","Intimates",10
95942,26,"M","Search","Socks",10
97392,26,"F","Organic","Intimates",10
97411,28,"F","Email","Intimates",10
98222,19,"F","Search","Active",10
99140,19,"M","Search","Active",10
1354,40,"F","Search","Intimates",10
1480,32,"F","Search","Intimates",10
1890,67,"M","Organic","Socks",10
6002,19,"F","Search","Intimates",10
7667,17,"M","Search","Socks",10
8008,46,"M","Search","Socks",10
9441,44,"F","Email","Intimates",10
17280,60,"F","Organic","Intimates",10
17717,66,"F","Search","Intimates",10
21172,48,"F","Facebook","Leggings",10
26138,28,"F","Search","Socks & Hosiery",10
26196,36,"M","Search","Socks",10
28225,36,"M","Organic","Socks",10
28389,55,"M","Organic","Socks",10
32945,18,"M","Search","Socks",10
33694,13,"M","Search","Socks",10
36186,48,"F","Organic","Intimates",10
39121,66,"F","Organic","Socks & Hosiery",10
42239,59,"F","Search","Intimates",10
43476,46,"M","Search","Socks",10
49257,14,"F","Search","Intimates",10
54161,32,"F","Search","Shorts",10
61401,40,"M","Search","Socks",10
62722,36,"F","Search","Intimates",10
64464,69,"F","Organic","Plus",10
68260,60,"F","Search","Intimates",10
69704,68,"M","Search","Socks",10
74198,55,"F","Search","Socks & Hosiery",10
78799,30,"F","Search","Socks & Hosiery",10
80082,14,"M","Search","Socks",10
82709,40,"F","Display","Active",10
83423,64,"F","Organic","Intimates",10
85682,17,"M","Search","Socks",10
91059,53,"F","Search","Socks & Hosiery",10
7549,46,"F","Organic","Intimates",10.5
9516,53,"F","Search","Intimates",10.5
13701,27,"F","Email","Shorts",10.5
14658,34,"F","Search","Intimates",10.5
23572,33,"F","Search","Intimates",10.5
26693,27,"F","Email","Socks & Hosiery",10.5
30586,51,"F","Display","Intimates",10.5
35545,19,"F","Search","Intimates",10.5
37956,51,"F","Search","Intimates",10.5
41395,52,"F","Search","Intimates",10.5
41710,62,"M","Search","Socks",10.5
43858,60,"F","Search","Plus",10.5
49366,16,"F","Organic","Intimates",10.5
55084,49,"F","Search","Intimates",10.5
56045,49,"F","Search","Intimates",10.5
57263,54,"F","Search","Intimates",10.5
59034,60,"F","Search","Intimates",10.5
69499,59,"F","Search","Intimates",10.5
86318,24,"M","Organic","Socks",10.5
95890,29,"F","Facebook","Intimates",10.5
96155,43,"F","Search","Intimates",10.5
17043,29,"F","Search","Intimates",10.5
25838,62,"M","Search","Underwear",10.5
46867,44,"F","Search","Intimates",10.5
58061,40,"F","Search","Intimates",10.5
60011,43,"F","Search","Intimates",10.5
62322,46,"M","Facebook","Underwear",10.5
3299,35,"F","Search","Socks & Hosiery",11
7248,16,"F","Organic","Plus",11
11997,30,"F","Search","Intimates",11
15539,20,"F","Facebook","Tops & Tees",11
15882,34,"F","Display","Socks & Hosiery",11
18583,65,"M","Display","Socks",11
20003,32,"M","Organic","Tops & Tees",11
23164,68,"F","Search","Socks & Hosiery",11
41437,28,"F","Organic","Intimates",11
42226,37,"M","Organic","Socks",11
45539,43,"F","Organic","Shorts",11
46582,60,"F","Search","Intimates",11
56455,34,"F","Search","Accessories",11
63177,68,"F","Search","Tops & Tees",11
66435,41,"F","Search","Shorts",11
70807,48,"F","Organic","Tops & Tees",11
72793,64,"F","Organic","Intimates",11
77025,59,"M","Search","Tops & Tees",11
78303,28,"M","Search","Socks",11
79662,36,"F","Display","Socks & Hosiery",11
80844,55,"M","Search","Socks",11
82916,48,"F","Display","Shorts",11
94619,68,"M","Search","Socks",11
94994,28,"F","Organic","Intimates",11
9349,42,"M","Search","Socks",11
52360,65,"M","Facebook","Socks",11
57710,59,"M","Search","Socks",11
59345,25,"M","Search","Socks",11
62999,45,"M","Search","Socks",11
98812,60,"F","Display","Socks & Hosiery",11
10652,18,"M","Email","Accessories",11.5
11731,20,"M","Search","Underwear",11.5
20806,62,"M","Search","Accessories",11.5
50119,29,"M","Organic","Accessories",11.5
457,62,"M","Email","Socks",12
725,30,"M","Search","Socks",12
1614,17,"M","Search","Active",12
2166,44,"F","Organic","Socks & Hosiery",12
2296,16,"M","Search","Socks",12
2489,26,"M","Search","Socks",12
4639,30,"F","Search","Intimates",12
6969,42,"M","Facebook","Socks",12
7513,18,"M","Search","Socks",12
8312,30,"F","Search","Accessories",12
9604,36,"F","Search","Active",12
12057,32,"F","Search","Intimates",12
12105,33,"M","Email","Socks",12
13470,39,"F","Search","Intimates",12
14921,51,"F","Display","Socks & Hosiery",12
15924,23,"F","Email","Intimates",12
16514,43,"F","Search","Intimates",12
17151,47,"F","Organic","Intimates",12
17452,33,"M","Search","Socks",12
18513,30,"M","Search","Socks",12
18956,12,"F","Search","Jeans",12
19710,31,"F","Display","Intimates",12
20475,58,"F","Search","Intimates",12
22881,17,"M","Search","Socks",12
23256,64,"M","Search","Socks",12
25082,70,"F","Search","Socks & Hosiery",12
25155,60,"F","Organic","Maternity",12
27890,52,"M","Search","Underwear",12
28656,23,"F","Facebook","Sleep & Lounge",12
30727,57,"F","Search","Intimates",12
31292,56,"M","Search","Socks",12
31594,14,"M","Email","Socks",12
32348,36,"F","Email","Intimates",12
36089,12,"M","Search","Socks",12
36378,26,"M","Facebook","Socks",12
36884,25,"M","Search","Socks",12
37292,13,"M","Search","Underwear",12
37853,46,"M","Organic","Socks",12
38459,22,"M","Search","Socks",12
38549,28,"F","Email","Accessories",12
38938,46,"F","Organic","Active",12
38997,31,"M","Search","Socks",12
39519,41,"F","Organic","Jeans",12
39927,15,"F","Search","Active",12
40759,55,"M","Search","Socks",12
41806,33,"F","Email","Intimates",12
42479,39,"F","Search","Socks & Hosiery",12
43080,52,"F","Search","Intimates",12
43171,38,"F","Search","Socks & Hosiery",12
44036,53,"F","Search","Socks & Hosiery",12
44094,30,"M","Organic","Socks",12
44141,22,"F","Search","Shorts",12
46243,18,"F","Search","Intimates",12
46797,21,"M","Search","Socks",12
48149,38,"F","Search","Intimates",12
50373,13,"M","Search","Socks",12
51456,24,"F","Facebook","Active",12
51879,19,"F","Search","Intimates",12
53175,16,"F","Email","Plus",12
54116,22,"M","Organic","Underwear",12
55319,58,"F","Search","Intimates",12
56327,53,"F","Search","Socks & Hosiery",12
56759,41,"M","Search","Socks",12
57536,18,"F","Organic","Intimates",12
61061,50,"M","Search","Socks",12
61968,35,"F","Facebook","Intimates",12
62348,36,"M","Search","Socks",12
63303,30,"F","Search","Socks & Hosiery",12
64286,23,"F","Search","Intimates",12
65577,31,"F","Search","Socks & Hosiery",12
68420,26,"M","Facebook","Socks",12
69847,27,"M","Email","Socks",12
69913,56,"F","Organic","Intimates",12
70544,41,"M","Search","Socks",12
71734,49,"F","Search","Socks & Hosiery",12
72431,51,"F","Display","Socks & Hosiery",12
73037,12,"F","Search","Intimates",12
73567,36,"F","Search","Socks & Hosiery",12
74911,40,"F","Search","Active",12
76968,47,"M","Search","Socks",12
77085,57,"F","Email","Intimates",12
77353,48,"M","Search","Socks",12
77395,70,"F","Search","Intimates",12
77576,25,"F","Search","Skirts",12
78162,45,"M","Search","Underwear",12
80161,18,"M","Search","Socks",12
80713,16,"M","Facebook","Socks",12
84168,26,"F","Search","Socks & Hosiery",12
84889,38,"F","Search","Socks & Hosiery",12
85498,47,"M","Search","Socks",12
86392,29,"F","Search","Plus",12
86999,39,"M","Search","Active",12
87573,48,"M","Facebook","Socks",12
87927,17,"M","Facebook","Socks",12
88497,60,"M","Search","Accessories",12
92221,38,"M","Facebook","Socks",12
92650,20,"M","Email","Socks",12
92735,32,"M","Search","Socks",12
93421,32,"F","Email","Intimates",12
93979,44,"M","Search","Socks",12
94264,63,"M","Search","Socks",12
95398,21,"M","Search","Socks",12
95949,64,"F","Search","Intimates",12
96480,18,"F","Display","Accessories",12
98027,15,"M","Search","Socks",12
98302,45,"F","Search","Tops & Tees",12
98608,26,"F","Facebook","Intimates",12
99379,64,"M","Organic","Active",12
99821,52,"F","Search","Socks & Hosiery",12
892,51,"M","Search","Socks",12
971,30,"F","Search","Intimates",12
6672,44,"M","Display","Active",12
7294,40,"F","Organic","Intimates",12
13288,35,"M","Search","Socks",12
13548,31,"F","Search","Socks & Hosiery",12
14852,26,"F","Display","Intimates",12
15690,31,"F","Search","Accessories",12
16419,13,"M","Search","Active",12
18271,21,"F","Search","Accessories",12
22600,61,"F","Search","Intimates",12
22754,67,"F","Search","Intimates",12
25680,53,"F","Search","Socks & Hosiery",12
34038,34,"F","Search","Socks & Hosiery",12
39390,44,"F","Organic","Intimates",12
41082,63,"M","Search","Socks",12
44104,37,"F","Search","Intimates",12
47447,43,"F","Organic","Jeans",12
53011,66,"F","Display","Intimates",12
58406,44,"M","Search","Accessories",12
59917,46,"F","Search","Plus",12
63768,67,"M","Organic","Socks",12
65378,63,"F","Search","Intimates",12
66529,25,"M","Search","Socks",12
66941,29,"F","Search","Intimates",12
68697,59,"M","Search","Socks",12
70349,23,"F","Organic","Socks & Hosiery",12
70709,20,"M","Search","Socks",12
71622,34,"F","Search","Plus",12
72202,67,"F","Search","Intimates",12
72781,16,"M","Search","Socks",12
73403,50,"F","Email","Socks & Hosiery",12
75154,62,"F","Search","Socks & Hosiery",12
77940,19,"F","Email","Intimates",12
81959,32,"F","Search","Intimates",12
83866,25,"F","Email","Shorts",12
87170,57,"F","Organic","Intimates",12
90556,14,"F","Search","Intimates",12
91936,49,"F","Facebook","Intimates",12
99840,54,"F","Search","Plus",12
5961,68,"F","Facebook","Accessories",12.5
14885,34,"M","Search","Socks",12.5
19235,33,"F","Organic","Leggings",12.5
23017,53,"F","Search","Plus",12.5
28987,34,"M","Organic","Socks",12.5
38301,20,"F","Facebook","Sweaters",12.5
47304,35,"F","Organic","Blazers & Jackets",12.5
50741,42,"F","Search","Accessories",12.5
53902,39,"F","Search","Skirts",12.5
66337,25,"F","Search","Intimates",12.5
68665,40,"F","Search","Accessories",12.5
73918,49,"F","Email","Leggings",12.5
78864,15,"F","Search","Socks & Hosiery",12.5
79502,40,"F","Organic","Leggings",12.5
96002,47,"M","Search","Socks",12.5
4868,44,"F","Search","Maternity",12.5
60420,65,"M","Search","Socks",12.5
6548,37,"M","Search","Socks",13
6599,58,"F","Display","Intimates",13
7596,62,"M","Search","Socks",13
9146,47,"F","Search","Intimates",13
10629,20,"F","Search","Intimates",13
11378,39,"F","Search","Intimates",13
14792,14,"F","Search","Socks & Hosiery",13
18175,26,"F","Organic","Intimates",13
18310,26,"M","Search","Socks",13
20292,41,"F","Search","Intimates",13
20565,61,"M","Search","Socks",13
25584,41,"F","Organic","Plus",13
27934,42,"M","Search","Socks",13
28209,63,"M","Organic","Active",13
29485,21,"M","Search","Active",13
30029,69,"F","Organic","Shorts",13
31799,60,"M","Search","Socks",13
33042,41,"M","Search","Socks",13
36186,48,"F","Organic","Intimates",13
38276,20,"F","Search","Swim",13
41204,25,"F","Search","Swim",13
45203,63,"M","Search","Socks",13
47550,17,"M","Search","Socks",13
48516,68,"F","Search","Socks & Hosiery",13
48574,43,"F","Search","Intimates",13
50759,30,"F","Search","Intimates",13
55350,23,"F","Search","Active",13
57315,52,"F","Search","Intimates",13
60869,35,"F","Search","Intimates",13
61677,19,"M","Organic","Active",13
63047,23,"M","Email","Active",13
63435,60,"F","Search","Socks & Hosiery",13
64138,62,"F","Search","Active",13
67374,59,"F","Search","Intimates",13
68402,63,"M","Search","Active",13
70925,20,"F","Search","Shorts",13
71015,15,"M","Search","Underwear",13
79788,40,"F","Search","Intimates",13
87365,44,"F","Facebook","Intimates",13
87790,32,"F","Search","Intimates",13
87859,36,"F","Email","Intimates",13
89271,34,"F","Search","Plus",13
91484,68,"F","Organic","Intimates",13
97471,40,"M","Facebook","Socks",13
97960,62,"F","Organic","Intimates",13
98360,25,"F","Facebook","Plus",13
1721,32,"F","Organic","Socks & Hosiery",13
11711,25,"M","Search","Active",13
12366,27,"F","Search","Intimates",13
17864,66,"F","Organic","Intimates",13
29497,44,"F","Facebook","Intimates",13
40528,47,"M","Organic","Socks",13
53426,51,"M","Email","Underwear",13
55340,42,"M","Search","Socks",13
67850,33,"M","Search","Active",13
69360,67,"M","Search","Socks",13
73157,27,"M","Search","Socks",13
74546,32,"M","Search","Socks",13
84126,66,"F","Search","Plus",13
92644,56,"M","Search","Socks",13
93109,40,"F","Search","Intimates",13
102,27,"F","Search","Socks & Hosiery",13.5
3190,46,"F","Organic","Blazers & Jackets",13.5
11691,58,"M","Search","Underwear",13.5
13062,37,"F","Search","Leggings",13.5
19668,65,"F","Search","Socks & Hosiery",13.5
27835,46,"M","Search","Underwear",13.5
34771,54,"F","Search","Skirts",13.5
36468,70,"M","Search","Underwear",13.5
45142,25,"M","Search","Socks",13.5
47003,65,"F","Search","Socks & Hosiery",13.5
49740,30,"M","Search","Underwear",13.5
53238,13,"M","Search","Underwear",13.5
75851,38,"M","Display","Underwear",13.5
78581,34,"M","Search","Underwear",13.5
79759,18,"F","Search","Skirts",13.5
84452,20,"F","Search","Blazers & Jackets",13.5
89812,58,"F","Search","Shorts",13.5
94945,31,"F","Search","Maternity",13.5
97557,21,"F","Search","Skirts",13.5
9213,55,"F","Search","Socks & Hosiery",13.5
14458,38,"F","Search","Maternity",13.5
14961,64,"M","Organic","Underwear",13.5
35683,55,"M","Search","Underwear",13.5
39011,48,"M","Email","Underwear",13.5
60399,13,"F","Search","Socks & Hosiery",13.5
65175,24,"F","Organic","Swim",13.5
66943,60,"F","Organic","Shorts",13.5
83134,67,"M","Search","Underwear",13.5
162,28,"F","Search","Socks & Hosiery",14
794,35,"M","Search","Socks",14
2036,22,"F","Search","Socks & Hosiery",14
2833,17,"F","Search","Fashion Hoodies & Sweatshirts",14
5000,23,"F","Organic","Socks & Hosiery",14
5139,28,"F","Search","Fashion Hoodies & Sweatshirts",14
6371,18,"F","Facebook","Socks & Hosiery",14
6959,29,"F","Search","Plus",14
8216,22,"M","Search","Socks",14
8428,14,"F","Search","Socks & Hosiery",14
9985,47,"M","Search","Sleep & Lounge",14
11178,34,"M","Search","Underwear",14
11699,21,"F","Search","Sleep & Lounge",14
14079,46,"F","Search","Socks & Hosiery",14
15749,17,"F","Search","Sleep & Lounge",14
16013,22,"M","Search","Underwear",14
17420,42,"F","Search","Accessories",14
17759,55,"M","Search","Socks",14
18994,49,"F","Display","Accessories",14
19340,27,"F","Search","Maternity",14
20357,35,"F","Search","Socks & Hosiery",14
20420,29,"M","Email","Underwear",14
20776,17,"F","Email","Sleep & Lounge",14
23962,18,"M","Search","Socks",14
26888,43,"M","Search","Socks",14
26940,48,"M","Search","Sleep & Lounge",14
27893,51,"M","Search","Underwear",14
30845,30,"F","Search","Intimates",14
32863,68,"F","Search","Socks & Hosiery",14
33287,59,"F","Search","Socks & Hosiery",14
33552,48,"F","Search","Plus",14
33846,18,"F","Organic","Socks & Hosiery",14
34298,45,"F","Organic","Intimates",14
34590,21,"F","Search","Intimates",14
34708,30,"F","Search","Plus",14
35507,12,"F","Search","Intimates",14
36020,66,"F","Search","Socks & Hosiery",14
38335,68,"F","Search","Intimates",14
39355,55,"F","Search","Plus",14
43154,37,"F","Search","Intimates",14
43241,44,"F","Search","Plus",14
46346,47,"M","Search","Socks",14
47875,26,"F","Organic","Sleep & Lounge",14
48450,47,"F","Facebook","Socks & Hosiery",14
49036,69,"M","Organic","Socks",14
50277,55,"M","Search","Socks",14
50397,40,"F","Search","Intimates",14
50580,20,"M","Search","Socks",14
50855,16,"M","Search","Underwear",14
51319,31,"F","Email","Intimates",14
51739,20,"M","Organic","Sleep & Lounge",14
53766,70,"M","Email","Socks",14
54455,41,"F","Facebook","Socks & Hosiery",14
54816,65,"F","Search","Socks & Hosiery",14
55085,64,"M","Search","Sleep & Lounge",14
55445,13,"F","Search","Intimates",14
56334,47,"F","Search","Intimates",14
57942,23,"F","Search","Socks & Hosiery",14
59348,51,"M","Search","Socks",14
59552,52,"M","Search","Socks",14
59983,28,"F","Search","Pants & Capris",14
60108,37,"M","Email","Socks",14
61054,56,"F","Organic","Socks & Hosiery",14
62165,32,"F","Search","Intimates",14
63933,51,"M","Display","Socks",14
64606,21,"M","Facebook","Active",14
64709,47,"F","Search","Socks & Hosiery",14
66310,37,"M","Organic","Accessories",14
66753,17,"F","Search","Intimates",14
66878,61,"M","Search","Socks",14
67457,65,"M","Organic","Socks",14
68351,35,"M","Display","Sleep & Lounge",14
69723,52,"M","Organic","Socks",14
69755,70,"M","Organic","Socks",14
70083,28,"M","Search","Underwear",14
70501,20,"F","Search","Accessories",14
72191,20,"F","Search","Intimates",14
72759,31,"M","Search","Socks",14
74141,37,"M","Search","Socks",14
75753,69,"M","Facebook","Socks",14
82029,66,"F","Organic","Socks & Hosiery",14
83678,57,"F","Search","Intimates",14
84780,63,"F","Search","Plus",14
84889,38,"F","Search","Sleep & Lounge",14
